test,item,score,speaker_name,speaker_style,speaker,speaker_gender,speaker_age,rater,rater_gender,rater_age
132,14,3,lerea,intense,3206,F.s,30,36,M.r,54
132,15,4,raard,intense,3207,M.s,46,36,M.r,54
132,16,3,tapir,calm,3208,F.s,53,36,M.r,54
132,17,3,revel,calm,3209,M.s,39,36,M.r,54
132,18,4,reeli,calm,3210,F.s,44,36,M.r,54
132,19,2,raand,intense,3211,M.s,50,36,M.r,54
132,20,1,krpir,intense,3212,F.s,31,36,M.r,54
132,21,2,mafra,intense,3213,M.s,20,36,M.r,54
132,22,3,pueli,intense,3214,F.s,37,36,M.r,54
132,23,1,povei,calm,3215,M.s,31,36,M.r,54
132,24,4,pomir,intense,3216,F.s,38,36,M.r,54
132,25,4,laerk,intense,3217,M.s,44,36,M.r,54
132,26,3,pamer,calm,3218,F.s,50,36,M.r,54
132,27,5,saerk,intense,3219,M.s,41,36,M.r,54
132,28,2,mxmer,calm,3220,F.s,19,36,M.r,54
132,29,6,auerk,intense,3221,M.s,50,36,M.r,54
132,30,3,kleva,intense,3222,F.s,43,36,M.r,54
132,31,2,anago,intense,3223,M.s,48,36,M.r,54
132,32,2,pueli,calm,3224,F.s,37,36,M.r,54
132,33,1,ojand,calm,3225,M.s,37,36,M.r,54
132,34,3,marii,intense,3226,F.s,38,36,M.r,54
132,35,3,erand,calm,3227,M.s,44,36,M.r,54
132,36,2,ktele,calm,3228,F.s,45,36,M.r,54
132,37,2,revel,intense,3229,M.s,39,36,M.r,54
132,38,1,tapir,intense,3230,F.s,53,36,M.r,54
132,39,2,prjaa,calm,3231,M.s,39,36,M.r,54
132,40,3,vaait,calm,3232,F.s,57,36,M.r,54
132,41,3,raand,calm,3233,M.s,50,36,M.r,54
132,42,3,pomir,calm,3234,F.s,38,36,M.r,54
132,43,3,tuvei,intense,3235,M.s,37,36,M.r,54
132,44,5,deane,calm,3236,F.s,23,36,M.r,54
132,45,6,povei,intense,3237,M.s,31,36,M.r,54
132,46,2,lerea,calm,3238,F.s,30,36,M.r,54
132,47,2,raard,calm,3239,M.s,46,36,M.r,54
132,48,1,paann,calm,3240,F.s,69,36,M.r,54
132,49,3,taarn,intense,3241,M.s,35,36,M.r,54
132,50,2,krpir,calm,3242,F.s,31,36,M.r,54
132,51,1,rachr,intense,3243,M.s,30,36,M.r,54
132,52,1,pamer,intense,3244,F.s,50,36,M.r,54
132,53,3,auerk,calm,3245,M.s,50,36,M.r,54
132,54,1,mxmer,intense,3246,F.s,19,36,M.r,54
132,55,2,laerk,calm,3247,M.s,44,36,M.r,54
132,56,3,pxeli,intense,3248,F.s,31,36,M.r,54
132,57,3,saerk,calm,3249,M.s,41,36,M.r,54
132,58,1,reeli,intense,3250,F.s,44,36,M.r,54
132,59,1,mafra,calm,3251,M.s,20,36,M.r,54
132,60,1,kleva,calm,3252,F.s,43,36,M.r,54
132,1,6,anago,calm,3193,M.s,48,80,F.r,33
132,2,5,vaait,intense,3194,F.s,57,80,F.r,33
132,3,4,erand,intense,3195,M.s,44,80,F.r,33
132,4,1,paann,intense,3196,F.s,69,80,F.r,33
132,5,7,prjaa,intense,3197,M.s,39,80,F.r,33
132,6,4,pxeli,calm,3198,F.s,31,80,F.r,33
132,7,2,rachr,calm,3199,M.s,30,80,F.r,33
132,8,4,ktele,intense,3200,F.s,45,80,F.r,33
132,9,6,taarn,calm,3201,M.s,35,80,F.r,33
132,10,4,marii,calm,3202,F.s,38,80,F.r,33
132,11,1,ojand,intense,3203,M.s,37,80,F.r,33
132,12,1,deane,intense,3204,F.s,23,80,F.r,33
132,13,6,tuvei,calm,3205,M.s,37,80,F.r,33
132,14,1,lerea,intense,3206,F.s,30,80,F.r,33
132,15,2,raard,intense,3207,M.s,46,80,F.r,33
132,16,5,tapir,calm,3208,F.s,53,80,F.r,33
132,17,6,revel,calm,3209,M.s,39,80,F.r,33
132,18,6,reeli,calm,3210,F.s,44,80,F.r,33
132,19,1,raand,intense,3211,M.s,50,80,F.r,33
132,20,1,krpir,intense,3212,F.s,31,80,F.r,33
132,21,3,mafra,intense,3213,M.s,20,80,F.r,33
132,22,2,pueli,intense,3214,F.s,37,80,F.r,33
132,23,5,povei,calm,3215,M.s,31,80,F.r,33
132,24,1,pomir,intense,3216,F.s,38,80,F.r,33
132,25,1,laerk,intense,3217,M.s,44,80,F.r,33
132,26,7,pamer,calm,3218,F.s,50,80,F.r,33
132,27,1,saerk,intense,3219,M.s,41,80,F.r,33
132,28,5,mxmer,calm,3220,F.s,19,80,F.r,33
132,29,1,auerk,intense,3221,M.s,50,80,F.r,33
132,30,4,kleva,intense,3222,F.s,43,80,F.r,33
132,31,1,anago,intense,3223,M.s,48,80,F.r,33
132,32,6,pueli,calm,3224,F.s,37,80,F.r,33
132,33,7,ojand,calm,3225,M.s,37,80,F.r,33
132,34,1,marii,intense,3226,F.s,38,80,F.r,33
132,35,6,erand,calm,3227,M.s,44,80,F.r,33
132,36,6,ktele,calm,3228,F.s,45,80,F.r,33
132,37,3,revel,intense,3229,M.s,39,80,F.r,33
132,38,4,tapir,intense,3230,F.s,53,80,F.r,33
132,39,5,prjaa,calm,3231,M.s,39,80,F.r,33
132,40,5,vaait,calm,3232,F.s,57,80,F.r,33
132,41,6,raand,calm,3233,M.s,50,80,F.r,33
132,42,3,pomir,calm,3234,F.s,38,80,F.r,33
132,43,3,tuvei,intense,3235,M.s,37,80,F.r,33
132,44,5,deane,calm,3236,F.s,23,80,F.r,33
132,45,1,povei,intense,3237,M.s,31,80,F.r,33
132,46,6,lerea,calm,3238,F.s,30,80,F.r,33
132,47,5,raard,calm,3239,M.s,46,80,F.r,33
132,48,6,paann,calm,3240,F.s,69,80,F.r,33
132,49,5,taarn,intense,3241,M.s,35,80,F.r,33
132,50,6,krpir,calm,3242,F.s,31,80,F.r,33
132,51,1,rachr,intense,3243,M.s,30,80,F.r,33
132,52,1,pamer,intense,3244,F.s,50,80,F.r,33
132,53,6,auerk,calm,3245,M.s,50,80,F.r,33
132,54,3,mxmer,intense,3246,F.s,19,80,F.r,33
132,55,6,laerk,calm,3247,M.s,44,80,F.r,33
132,56,6,pxeli,intense,3248,F.s,31,80,F.r,33
132,57,4,saerk,calm,3249,M.s,41,80,F.r,33
132,58,1,reeli,intense,3250,F.s,44,80,F.r,33
132,59,1,mafra,calm,3251,M.s,20,80,F.r,33
132,60,5,kleva,calm,3252,F.s,43,80,F.r,33
132,1,6,anago,calm,3193,M.s,48,90,F.r,43
